achalander	2
achalandé	11
achard	9
achards	9
acharnement	297
acharner	856
acharné	235
achat	850
ache	6
acheminement	23
acheminer	233
achetable	4
acheter	13767
acheteur	474
achever	3434
achevé	280
achondroplasie	5
achoppement	4
achopper	26
achèvement	74
achélème	57
acid jazz	1
acide	323
acide	503
acidité	50
acidose	15
aciduler	17
acidulé	50
acier	1747
aciérie	32
acmé	1
acné	73
acnéique	4
acolyte	140
acompte	206
aconier	2
aconit	18
acoquiner	44
acouphène	1
acoustique	43
acoustique	24
acqua-toffana	2
acquiescement	96
acquiescer	429
acquis	277
acquis	60
acquisition	236
acquit	78
acquittement	36
acquitter	337
acquitté	16
acquitté	8
acquéreur	60
acquérir	1263
acquêt	6
acra	4
acre	40
acrimonie	26
acrimonieusement	2
acrimonieux	10
acrobate	198
acrobatie	128
acrobatique	40
acrobatiquement	2
acrocéphale	2
acromion	4
acronyme	12
acrophobie	11
acropole	26
acrostiche	1
acrotère	2
acrylique	23
acrylique	20
acrylonitrile	1
acte	3555
acter	2
acteur	4057
actif	738
actif	81
actine	1
actinie	13
action painting	2
action	5083
actionnaire	190
actionnement	2
actionner	304
activant	2
activation	131
activement	153
activer	948
activisme	10
activiste	19
activiste	48
activité	2137
activé	194
actuaire	1
actualisation	4
actualiser	16
actualité	419
actuariel	3
actuel	1214
actuellement	972
acuité	115
acumen	2
acéphale	4
acéphale	6
acuponcture	9
acupuncteur	2
acupuncture	36
acérer	40
acéré	108
acétate	4
acétique	2
acétone	14
acétylcholine	1
acétylsalicylique	1
acétylène	73
ad hoc	28
ad infinitum	1
ad libitum	4
ad limina	2
ad majorem dei gloriam	4
ad nutum	2
ad patres	8
ad vitam aeternam	8
ada	97
adage	37
adagio	2
adagio	14
adamantin	8
adamique	4
adaptabilité	5
adaptable	8
adaptateur	19
adaptatif	2
adaptation	210
adapter	828
addendum	2
addiction	2
additif	18
addition	649
additionnel	18
additionner	117
adducteur	1
adduction	14
adent	1
adepte	190
adhérence	23
adhérent	12
adhérent	42
adhérer	257
adhésif	61
adhésif	22
adhésion	230
